Input Start Date,Input End Date,Start Date,End Date,Model Result,Model Sharpe,SPY Buy/Hold Result,SPY Sharpe,SPY Delta
2023-04-08 00:00:00,2024-04-07 00:00:00,2023-04-11 00:00:00,2024-04-05 00:00:00,86.34,3.009827,28.37,2.250126,57.97
2022-11-18 00:00:00,2023-11-18 00:00:00,2022-11-21 00:00:00,2023-11-17 00:00:00,69.42,2.150295,16.04,1.118938,53.38
2022-04-03 00:00:00,2023-04-03 00:00:00,2022-04-05 00:00:00,2023-04-03 00:00:00,2.21,0.235506,-7.34,-0.213013,9.55
2023-09-20 00:00:00,2024-09-19 00:00:00,2023-09-21 00:00:00,2024-09-19 00:00:00,89.07,2.537446,26.77,2.549276,62.3
2024-07-10 00:00:00,2025-07-10 00:00:00,2024-07-11 00:00:00,2025-07-10 00:00:00,103.04,2.161322,-2.74,-4.482334,105.78
2022-06-07 00:00:00,2023-06-07 00:00:00,2022-06-08 00:00:00,2023-06-07 00:00:00,53.94,1.502483,5.49,0.361647,48.45
2021-10-23 00:00:00,2022-10-23 00:00:00,2021-10-26 00:00:00,2022-10-21 00:00:00,-22.44,-0.644429,-16.67,-0.687294,-5.77
2024-01-02 00:00:00,2025-01-01 00:00:00,2024-01-03 00:00:00,2024-12-31 00:00:00,114.02,2.819013,16.18,2.502669,97.84
2022-03-04 00:00:00,2023-03-04 00:00:00,2022-03-07 00:00:00,2023-03-03 00:00:00,6.32,0.351968,-2.07,0.027957,8.39
2024-03-26 00:00:00,2025-03-26 00:00:00,2024-03-27 00:00:00,2025-03-26 00:00:00,67.31,1.828169,3.79,1.085152,63.52
2023-03-21 00:00:00,2024-03-20 00:00:00,2023-03-22 00:00:00,2024-03-20 00:00:00,97.28,3.245638,34.66,2.653607,62.62
2022-08-05 00:00:00,2023-08-05 00:00:00,2022-08-08 00:00:00,2023-08-04 00:00:00,56.1,1.640305,9.96,0.604875,46.14
2024-05-03 00:00:00,2025-05-03 00:00:00,2024-05-06 00:00:00,2025-05-02 00:00:00,70.82,1.672382,5.11,2.380951,65.71
2022-12-27 00:00:00,2023-12-27 00:00:00,2022-12-28 00:00:00,2023-12-27 00:00:00,97.39,2.881609,28.43,1.979441,68.96
2023-03-15 00:00:00,2024-03-14 00:00:00,2023-03-16 00:00:00,2024-03-14 00:00:00,98.18,3.201803,31.98,2.431104,66.2
2021-12-24 00:00:00,2022-12-24 00:00:00,2021-12-28 00:00:00,2022-12-23 00:00:00,-22.79,-0.601063,-18.4,-0.72651,-4.39
2023-03-27 00:00:00,2024-03-26 00:00:00,2023-03-28 00:00:00,2024-03-26 00:00:00,102.58,3.360975,33.04,2.548617,69.54
2023-11-08 00:00:00,2024-11-07 00:00:00,2023-11-09 00:00:00,2024-11-07 00:00:00,120.27,2.893597,26.05,3.110975,94.22
2022-01-01 00:00:00,2023-01-01 00:00:00,2022-01-04 00:00:00,2022-12-30 00:00:00,-22.85,-0.597341,-18.62,-0.735369,-4.23
2022-01-31 00:00:00,2023-01-31 00:00:00,2022-02-01 00:00:00,2023-01-31 00:00:00,-6.59,-0.019408,-8.8,-0.263201,2.21
2024-01-27 00:00:00,2025-01-26 00:00:00,2024-01-30 00:00:00,2025-01-24 00:00:00,126.4,2.952041,10.95,1.953884,115.45
2022-06-29 00:00:00,2023-06-29 00:00:00,2022-06-30 00:00:00,2023-06-29 00:00:00,81.77,2.042389,18.03,0.957827,63.74
2024-02-04 00:00:00,2025-02-03 00:00:00,2024-02-06 00:00:00,2025-02-03 00:00:00,123.1,2.828094,10.26,1.964091,112.84
2022-10-18 00:00:00,2023-10-18 00:00:00,2022-10-19 00:00:00,2023-10-18 00:00:00,67.49,1.889391,18.58,1.162487,48.91
2023-10-16 00:00:00,2024-10-15 00:00:00,2023-10-17 00:00:00,2024-10-15 00:00:00,110.5,2.937248,25.42,2.657121,85.08
2023-05-06 00:00:00,2024-05-05 00:00:00,2023-05-09 00:00:00,2024-05-03 00:00:00,81.86,2.662232,26.22,2.107409,55.64
2023-01-31 00:00:00,2024-01-31 00:00:00,2023-02-01 00:00:00,2024-01-31 00:00:00,66.97,2.401124,19.33,1.4805,47.64
2022-08-11 00:00:00,2023-08-11 00:00:00,2022-08-12 00:00:00,2023-08-11 00:00:00,46.78,1.435703,6.05,0.410833,40.73
2022-10-08 00:00:00,2023-10-08 00:00:00,2022-10-11 00:00:00,2023-10-06 00:00:00,84.61,2.197015,21.96,1.310163,62.65
2022-01-18 00:00:00,2023-01-18 00:00:00,2022-01-19 00:00:00,2023-01-18 00:00:00,-8.94,-0.089269,-11.93,-0.405136,2.99
2022-04-19 00:00:00,2023-04-19 00:00:00,2022-04-20 00:00:00,2023-04-19 00:00:00,20.55,0.728589,-5.3,-0.12069,25.85
2023-07-03 00:00:00,2024-07-02 00:00:00,2023-07-05 00:00:00,2024-07-02 00:00:00,78.92,2.671578,25.63,2.12128,53.29
2022-05-29 00:00:00,2023-05-29 00:00:00,2022-06-01 00:00:00,2023-05-26 00:00:00,51.26,1.456197,4.28,0.307005,46.98
2022-05-14 00:00:00,2023-05-14 00:00:00,2022-05-17 00:00:00,2023-05-12 00:00:00,34.41,1.074457,2.51,0.224036,31.9
2023-11-17 00:00:00,2024-11-16 00:00:00,2023-11-20 00:00:00,2024-11-15 00:00:00,119.09,2.846716,20.39,2.646525,98.7
2022-11-26 00:00:00,2023-11-26 00:00:00,2022-11-29 00:00:00,2023-11-24 00:00:00,67.5,2.14616,17.01,1.190608,50.49
2023-01-22 00:00:00,2024-01-22 00:00:00,2023-01-24 00:00:00,2024-01-22 00:00:00,65.48,2.338746,22.64,1.693252,42.84
2021-11-08 00:00:00,2022-11-08 00:00:00,2021-11-09 00:00:00,2022-11-08 00:00:00,-22.45,-0.669538,-17.03,-0.686445,-5.42
2022-04-05 00:00:00,2023-04-05 00:00:00,2022-04-06 00:00:00,2023-04-05 00:00:00,4.94,0.313618,-7.17,-0.204797,12.11
2023-01-19 00:00:00,2024-01-19 00:00:00,2023-01-20 00:00:00,2024-01-19 00:00:00,71.12,2.418442,23.71,1.753112,47.41
2023-05-16 00:00:00,2024-05-15 00:00:00,2023-05-17 00:00:00,2024-05-15 00:00:00,87.4,2.780965,29.43,2.31611,57.97
2023-10-15 00:00:00,2024-10-14 00:00:00,2023-10-17 00:00:00,2024-10-14 00:00:00,107.62,2.893092,25.42,2.657121,82.2
2023-10-27 00:00:00,2024-10-26 00:00:00,2023-10-30 00:00:00,2024-10-25 00:00:00,117.06,2.99188,31.59,3.482731,85.47
